Calibration_User	Test_Day	Conductivity_User	ERB_133X_Lot	Conductivity(mS/cm)
SL	1	MC	E70-20171001	1.68
SL	1	MC	E70-20171002	1.76
SL	1	MC	E70-20171003	1.52
SL	1	MG	E70-20171001	1.66
SL	1	MG	E70-20171002	1.7
SL	1	MG	E70-20171003	1.5
SL	1	SL	E70-20171001	1.71
SL	1	SL	E70-20171002	1.71
SL	1	SL	E70-20171003	1.56
MG	2	MC	E70-20171001	1.69
MG	2	MC	E70-20171002	1.65
MG	2	MC	E70-20171003	1.52
MG	2	MG	E70-20171001	1.6
MG	2	MG	E70-20171002	1.7
MG	2	MG	E70-20171003	1.5
MG	2	SL	E70-20171001	1.72
MG	2	SL	E70-20171002	1.72
MG	2	SL	E70-20171003	1.57
MC	3	MC	E70-20171001	1.63
MC	3	MC	E70-20171002	1.66
MC	3	MC	E70-20171003	1.48
MC	3	MG	E70-20171001	1.6
MC	3	MG	E70-20171002	1.7
MC	3	MG	E70-20171003	1.5
MC	3	SL	E70-20171001	1.66
MC	3	SL	E70-20171002	1.67
MC	3	SL	E70-20171003	1.49
SL	4	MC	E70-20171001	1.61
SL	4	MC	E70-20171002	1.6
SL	4	MC	E70-20171003	1.46
SL	4	MG	E70-20171001	1.6
SL	4	MG	E70-20171002	1.7
SL	4	MG	E70-20171003	1.4
SL	4	SL	E70-20171001	1.68
SL	4	SL	E70-20171002	1.62
SL	4	SL	E70-20171003	1.46
MG	5	MC	E70-20171001	1.6
MG	5	MC	E70-20171002	1.66
MG	5	MC	E70-20171003	1.46
MG	5	MG	E70-20171001	1.7
MG	5	MG	E70-20171002	1.6
MG	5	MG	E70-20171003	1.5
MG	5	SL	E70-20171001	1.67
MG	5	SL	E70-20171002	1.71
MG	5	SL	E70-20171003	1.49
